name,ra,dec,zspec
HSCJ0102+0158,15.6597,1.98247,0.8669
HSCJ0157-0330,29.3812,-3.51603,0.6212
HSCJ0200-0344,30.1981,-3.73763,0.72
HSCJ0232-0323,38.2078,-3.39058,0.42
HSCJ0236-0332,39.1554,-3.53893,0.2695
HSCJ0238-0545,39.5741,-5.76545,0.5993
HSCJ0850+0039,132.6942,0.65146,1.0
HSCJ0904-0059,136.0331,-0.99807,0.56
HSCJ0919+0336,139.7692,3.61072,0.444
HSCJ0925+0017,141.4375,0.28414,0.8
HSCJ0943+0059,145.9506,0.99059,0.49
HSCJ1004-0031,151.2154,-0.52912,0.59
HSCJ1143-0139,175.7969,-1.65986,0.6435
HSCJ1152+0047,178.2178,0.79252,0.5
HSCJ1210-0119,182.7187,-1.31813,0.6998
HSCJ1224-0042,186.2095,-0.70423,0.4031
HSCJ1224+0050,186.2334,0.84665,0.25
HSCJ1243-0045,190.8365,-0.75494,0.6541
HSCJ1409-0114,212.3737,-1.23633,0.5843
HSCJ1413-0126,213.2503,-1.43559,0.7492
HSCJ1434+4315,218.6586,43.2617,0.3852
HSCJ1434-0056,218.7266,-0.94963,0.7284
HSCJ1641+4259,250.4634,42.9881,0.5997
HSCJ2220+0433,335.081,4.55691,1.11
HSCJ2228+0022,337.1687,0.37036,0.49
HSCJ2242+0011,340.5899,0.19573,0.3851
HSCJ2305-0002,346.3403,-0.03658,0.4921
HSCJ2331+0037,352.877,0.62596,0.5523
HSCJ2331+0138,352.9434,1.646,0.4761
HSCJ0120+0011,20.0756,0.1905,0.5989
HSCJ0128+0038,22.4759,0.63361,0.52
HSCJ0201-0309,30.4249,-3.16285,0.3624
HSCJ0203-0519,30.9097,-5.31712,0.39
HSCJ0205-0123,31.3207,-1.38927,0.7
HSCJ0233-0205,38.3443,-2.09184,0.77
HSCJ0911+0418,137.9538,4.31464,0.85
HSCJ0928-0045,142.1241,-0.75362,0.3545
HSCJ0941+0004,145.346,0.07963,0.4862
HSCJ1153+0127,178.315,1.46274,0.5719
HSCJ1155-0144,178.994,-1.74517,0.56
HSCJ1200+0056,180.1581,0.94486,0.69
HSCJ1221+0018,185.2592,0.31505,1.37
HSCJ1224+0117,186.0524,1.28667,0.76
HSCJ1252+0043,193.2276,0.73229,0.649
HSCJ1416+0138,214.2076,1.63951,0.39
HSCJ1417+5226,214.3988,52.4461,0.88
HSCJ1427+0009,216.9515,0.16629,0.5891
HSCJ1452-0021,223.1527,-0.36172,0.7333
HSCJ1555+4151,238.8239,41.8607,0.5553
HSCJ1557+4206,239.3841,42.1065,0.45
HSCJ2226+0041,336.5388,0.69498,0.6471
HSCJ2235-0047,338.8263,-0.79646,0.6399
HSCJ2325+0037,351.4499,0.62764,0.52
HSCJ0008+0015,2.2033,0.26412,0.3967
HSCJ0159-0504,29.9928,-5.07437,0.4338
HSCJ0208-0424,32.2011,-4.40757,0.74
HSCJ0209-0643,32.3722,-6.72009,0.4069
HSCJ0209-0244,32.4809,-2.74507,0.44
HSCJ0217-0513,34.4048,-5.22488,0.6461
HSCJ0224-0336,36.0432,-3.6015,0.6126
HSCJ0854-0121,133.6939,-1.36028,0.3557
HSCJ0905-0010,136.2806,-0.17502,0.4942
HSCJ0908-0107,137.093,-1.13123,0.81
HSCJ0909+0028,137.4108,0.47847,0.67
HSCJ0925-0106,141.423,-1.10647,0.439
HSCJ0926-0120,141.5017,-1.33894,0.82
HSCJ1007+0208,151.7664,2.14303,0.36
HSCJ1150-0020,177.5469,-0.3387,0.612
HSCJ1234-0009,188.5909,-0.15726,0.4104
HSCJ1343+0108,205.9665,1.13814,0.567
HSCJ1351+0028,207.9122,0.4777,0.4607
HSCJ1404+0051,211.2179,0.85629,0.3984
HSCJ1407-0112,211.7725,-1.2158,0.6471
HSCJ1420+0056,215.2234,0.93904,0.6154
HSCJ1422-0004,215.6684,-0.0735,0.77
HSCJ1423-0012,215.8261,-0.20753,0.79
HSCJ1424-0053,216.2042,-0.88935,0.7946
HSCJ1439+0051,219.7557,0.85494,0.81
HSCJ1452+4257,223.1788,42.9588,0.7176
HSCJ1457-0159,224.3857,-1.98819,0.5257
HSCJ1558+4328,239.6111,43.4752,0.4441
HSCJ2211+0034,332.7583,0.56704,0.6762
HSCJ2305+0005,346.4402,0.09452,0.92
HSCJ2313-0002,348.3888,-0.0459,0.76
HSCJ2319-0106,349.8902,-1.10275,0.55
HSCJ2325-0052,351.4891,-0.87414,0.74
HSCJ2331+0000,352.7767,0.00445,0.61
HSCJ2341-0029,355.323,-0.49388,0.5314
HSCJ0154-0500,28.7249,-5.00569,0.47
HSCJ0155-0159,28.8743,-1.98666,0.7234
HSCJ0157-0614,29.4943,-6.24056,0.39
HSCJ0208-0433,32.1339,-4.55439,0.83
HSCJ0224-0149,36.0931,-1.82962,0.5867
HSCJ0230-0152,37.6589,-1.8803,0.38
HSCJ0235-0215,38.9304,-2.25194,0.6
HSCJ0839+0047,129.9293,0.79466,0.6207
HSCJ0842+0138,130.5464,1.64323,0.27
HSCJ0844-0123,131.1782,-1.38942,0.66
HSCJ0856-0141,134.0573,-1.69121,0.58
HSCJ0906+0030,136.5789,0.51493,0.9
HSCJ0921+0214,140.4027,2.23594,0.3191
HSCJ0929-0005,142.3614,-0.09708,0.4172
HSCJ0943-0154,145.8652,-1.91481,0.4502
HSCJ1155-0012,178.9889,-0.21072,0.52
HSCJ1211-0106,182.846,-1.10268,0.58
HSCJ1358-0215,209.723,-2.25715,0.7364
HSCJ1410+0129,212.5044,1.49916,0.5414
HSCJ1421+0012,215.3634,0.20147,1.35
HSCJ1431-0006,217.8079,-0.10373,0.69
HSCJ1436+4309,219.066,43.1558,0.54
HSCJ1441+0133,220.2561,1.56242,0.64
HSCJ1443+0112,220.7545,1.19989,0.76
HSCJ1454+4346,223.5103,43.7691,0.84
HSCJ1513+4332,228.4032,43.5475,0.4873
HSCJ1553+4318,238.3308,43.3068,0.6292
HSCJ1558+4237,239.5611,42.6188,0.72
HSCJ1609+4421,242.3324,44.3636,0.45
HSCJ2212-0018,333.095,-0.30318,0.98
HSCJ2232+0313,338.0507,3.22517,0.7042
HSCJ2233+0157,338.4742,1.95606,0.27
HSCJ2241+0003,340.4776,0.05874,0.51
HSCJ2251+0525,342.845,5.42426,0.49
HSCJ2256+0340,344.0644,3.68123,0.8
HSCJ2259+0233,344.8387,2.55889,0.65
HSCJ2310+0154,347.5876,1.91441,0.58
HSCJ2311-0130,347.9378,-1.51084,0.3997
HSCJ2328+0242,352.1385,2.70399,0.4925
HSCJ2358+0124,359.7217,1.40179,0.4805
HSCJ0112-0022,18.1074,-0.37974,0.4659
HSCJ0158-0157,29.5811,-1.95094,0.4397
HSCJ0159-0503,29.9808,-5.06588,0.44
HSCJ0202-0346,30.5471,-3.77923,0.2862
HSCJ0202-0646,30.6725,-6.76981,0.5019
HSCJ0203-0116,30.8391,-1.27992,0.6032
HSCJ0204-0202,31.2079,-2.03506,0.9
HSCJ0210-0320,32.5953,-3.33934,0.5992
HSCJ0212-0555,33.1994,-5.93122,0.78
HSCJ0214-0405,33.5468,-4.08411,0.6086
HSCJ0216-0248,34.1393,-2.80733,0.6097
HSCJ0221-0210,35.4172,-2.17223,0.7073
HSCJ0229-0609,37.3154,-6.15068,0.58
HSCJ0229-0338,37.3771,-3.64348,0.6699
HSCJ0232-0217,38.0724,-2.28439,0.5078
HSCJ0233-0438,38.2795,-4.64397,0.671
HSCJ0238-0456,39.6358,-4.93353,0.445
HSCJ0845-0004,131.4002,-0.08249,0.74
HSCJ0856+0057,134.2298,0.95314,0.73
HSCJ0901+0343,135.4343,3.72202,0.72
HSCJ0910+0358,137.6036,3.97281,0.5
HSCJ1017-0012,154.3919,-0.20758,0.8457
HSCJ1140-0043,175.1752,-0.72658,0.7
HSCJ1157-0024,179.3078,-0.40633,0.5806
HSCJ1158-0201,179.7374,-2.02966,0.2812
HSCJ1206+0056,181.508,0.94825,0.5591
HSCJ1206-0104,181.5486,-1.06867,0.36
HSCJ1206+0015,181.5994,0.25195,0.5632
HSCJ1210-0111,182.5944,-1.19976,0.5744
HSCJ1241+0016,190.3483,0.26772,0.81
HSCJ1248-0002,192.234,-0.03532,0.5862
HSCJ1252+0058,193.2132,0.96828,0.5398
HSCJ1352-0026,208.1791,-0.43721,0.5078
HSCJ1359-0126,209.9284,-1.43916,0.407
HSCJ1403-0217,210.9378,-2.2862,0.6159
HSCJ1421+0022,215.2654,0.37196,0.63
HSCJ1421-0130,215.4208,-1.51608,0.7473
HSCJ1427+0019,216.8356,0.32111,0.5507
HSCJ1431+0130,217.9619,1.50548,0.7543
HSCJ1431-0133,217.9725,-1.56453,0.671
HSCJ1439+0053,219.887,0.89945,0.3127
HSCJ1443-0040,220.7799,-0.68227,0.5002
HSCJ1453-0033,223.3574,-0.5589,0.41
HSCJ1500+0151,225.1229,1.85548,0.5288
HSCJ1511+4333,227.8476,43.5592,0.72
HSCJ1603+4314,240.7805,43.2393,0.5427
HSCJ1630+4401,247.7097,44.0319,0.5316
HSCJ2213-0030,333.2788,-0.51031,0.7024
HSCJ2224+0043,336.0162,0.72798,0.75
HSCJ2231+0433,337.8924,4.56325,0.66
HSCJ2235+0343,338.8062,3.7204,0.6315
HSCJ2244+0315,341.2286,3.26428,0.7911
HSCJ2246+0558,341.5609,5.97459,0.3398
HSCJ2249+0311,342.3865,3.18736,0.37
HSCJ2309+0137,347.4783,1.62004,0.6253
HSCJ2323-0030,350.9419,-0.51055,0.84
HSCJ2324+0113,351.0651,1.22552,0.5925
HSCJ2325+0035,351.4038,0.58783,0.81
HSCJ2332+0038,353.1289,0.63938,0.6228
HSCJ2340+0130,355.077,1.51024,0.5564
HSCJ2341-0030,355.3529,-0.51625,0.43
HSCJ2344+0012,356.1239,0.20518,0.58
HSCJ0006+0141,1.6859,1.68996,0.33
HSCJ0013+0040,3.2902,0.6676,0.693
HSCJ0014+0041,3.6012,0.69591,0.5705
HSCJ0107+0208,16.7735,2.14793,0.55
HSCJ0110+0001,17.5628,0.02829,0.43
HSCJ0157-0454,29.4859,-4.90017,0.5554
HSCJ0157-0218,29.4859,-2.30279,0.3716
HSCJ0206-0301,31.5201,-3.03248,0.45
HSCJ0206-0424,31.6926,-4.40462,0.57
HSCJ0208-0220,32.0446,-2.33843,0.51
HSCJ0208-0402,32.045,-4.03891,0.9954
HSCJ0217-0224,34.4734,-2.40222,0.4761
HSCJ0219-0557,34.9597,-5.95183,0.652
HSCJ0234-0141,38.6589,-1.6981,0.35
HSCJ0237-0547,39.3279,-5.79868,0.36
HSCJ0839+0210,129.8766,2.17351,0.74
HSCJ0841-0100,130.4501,-1.00022,0.66
HSCJ0844-0017,131.0958,-0.29401,0.82
HSCJ0846-0154,131.6356,-1.90493,0.99
HSCJ0856-0000,134.023,-0.00305,0.7
HSCJ0901+0407,135.4428,4.1256,0.79
HSCJ0903-0058,135.8886,-0.97492,0.4
HSCJ0906+0119,136.546,1.33097,0.4
HSCJ0908+0008,137.1413,0.13506,0.6886
HSCJ0909+0405,137.2977,4.08842,0.88
HSCJ0910+0252,137.5159,2.88167,1.31
HSCJ0912-0137,138.1162,-1.61694,0.58
HSCJ0914+0528,138.6327,5.47159,0.4565
HSCJ0916+0347,139.0355,3.7862,0.5312
HSCJ0924-0028,141.0484,-0.48076,0.5405
HSCJ0927-0017,141.8393,-0.29683,0.45
HSCJ0928+0119,142.1754,1.32812,0.5
HSCJ0930-0003,142.5348,-0.05835,0.5746
HSCJ0935-0052,143.9423,-0.88094,0.559
HSCJ0950-0019,147.5856,-0.31803,0.82
HSCJ0956-0018,149.117,-0.30549,0.41
HSCJ0956+0331,149.2441,3.52508,0.69
HSCJ1007-0107,151.7618,-1.12662,0.301
HSCJ1009-0122,152.4786,-1.37338,0.5162
HSCJ1018-0008,154.5307,-0.13676,0.3718
HSCJ1136-0123,174.2191,-1.39186,0.3404
HSCJ1147+0009,176.9939,0.16497,0.65
HSCJ1148+0009,177.2179,0.16266,0.5885
HSCJ1156-0039,179.2209,-0.6635,0.5081
HSCJ1207-0127,181.7572,-1.46253,0.39
HSCJ1214+0133,183.5445,1.55377,0.87
HSCJ1223-0029,185.8114,-0.49432,0.5474
HSCJ1224-0041,186.161,-0.69809,0.35
HSCJ1348-0034,207.1166,-0.56699,0.68
HSCJ1350+0025,207.6591,0.43061,0.526
HSCJ1351-0026,207.8616,-0.43935,0.63
HSCJ1359-0112,209.7625,-1.21207,0.6169
HSCJ1408-0052,212.1845,-0.8797,0.56
HSCJ1417+4402,214.2532,44.0351,0.38
HSCJ1419+0053,214.9177,0.89977,1.42
HSCJ1420-0014,215.0377,-0.24289,0.6151
HSCJ1423+0134,215.9711,1.57969,0.519
HSCJ1428-0050,217.0485,-0.83924,0.78
HSCJ1428-0037,217.2415,-0.62272,0.3201
HSCJ1434-0009,218.6863,-0.1635,0.5497
HSCJ1437+4205,219.4354,42.0931,0.4287
HSCJ1442-0023,220.6291,-0.39812,0.3701
HSCJ1444+0006,221.0244,0.11574,0.78
HSCJ1451+0111,222.7766,1.19266,0.391
HSCJ1505+4211,226.3921,42.1847,0.5865
HSCJ1520+4418,230.2066,44.3133,0.42
HSCJ1553+4259,238.4957,42.9927,0.51
HSCJ1556+4228,239.0812,42.4819,0.86
HSCJ1612+4249,243.0903,42.8192,1.02
HSCJ2228+0128,337.0082,1.46822,0.6473
HSCJ2234+0120,338.529,1.34923,0.6697
HSCJ2239+0030,339.7884,0.50027,0.79
HSCJ2303+0037,345.8965,0.61754,0.4582
HSCJ2306+0225,346.7428,2.42866,0.362
HSCJ2314-0003,348.5673,-0.05297,0.77
HSCJ2314+0135,348.6305,1.59682,0.5235
HSCJ2315-0052,348.916,-0.88024,0.4729
HSCJ2330-0002,352.698,-0.04203,0.33
HSCJ2342-0120,355.7028,-1.34239,0.5271
HSCJ2357+0101,359.3776,1.02596,0.638
HSCJ0008+0013,2.0285,0.22826,0.6921
HSCJ0008+0135,2.0559,1.58637,0.81
HSCJ0157-0544,29.4962,-5.74709,0.75
HSCJ0159-0121,29.8238,-1.3589,0.64
HSCJ0200-0417,30.2385,-4.28364,0.6128
HSCJ0209-0251,32.4681,-2.85633,0.9046
HSCJ0211-0322,32.9846,-3.36835,0.49
HSCJ0218-0539,34.5983,-5.65593,0.6916
HSCJ0218-0404,34.6773,-4.07482,0.39
HSCJ0225-0454,36.296,-4.90932,0.2379
HSCJ0228-0617,37.1721,-6.29141,0.71
HSCJ0230-0244,37.5705,-2.74578,0.48
HSCJ0233-0531,38.3547,-5.51791,0.4367
HSCJ0235-0401,38.9193,-4.03284,0.3584
HSCJ0237-0235,39.2817,-2.59371,0.6069
HSCJ0836+0049,129.0571,0.8287,0.87
HSCJ0846-0222,131.6095,-2.37011,0.48
HSCJ0849-0024,132.3144,-0.406,0.58
HSCJ0849-0053,132.4954,-0.88509,0.41
HSCJ0853+0151,133.3823,1.85811,0.47
HSCJ0857+0111,134.3223,1.1978,0.562
HSCJ0858-0027,134.6764,-0.46271,0.6533
HSCJ0858-0102,134.7333,-1.03569,0.4675
HSCJ0903-0048,135.9419,-0.8146,0.37
HSCJ0904+0426,136.1274,4.44684,0.4566
HSCJ0905+0409,136.2851,4.15071,0.5521
HSCJ0908-0000,137.0707,-0.01601,0.58
HSCJ0908+0115,137.073,1.25082,0.63
HSCJ0913+0141,138.4663,1.69203,0.44
HSCJ0921+0355,140.256,3.92269,0.4724
HSCJ0921-0109,140.2927,-1.164,0.61
HSCJ0921+0444,140.3367,4.7414,0.82
HSCJ0922+0024,140.6175,0.40609,0.43
HSCJ0922+0118,140.6549,1.30693,0.6213
HSCJ0929-0152,142.3661,-1.87729,0.58
HSCJ0932-0137,143.1858,-1.62809,0.44
HSCJ0933+0003,143.3463,0.06513,0.38
HSCJ0950+0232,147.5618,2.54171,0.38
HSCJ0952+0001,148.1962,0.02203,0.65
HSCJ0957+0145,149.4588,1.75211,0.5738
HSCJ1000+0132,150.2094,1.5477,0.54
HSCJ1004+0156,151.0917,1.94647,0.56
HSCJ1132-0211,173.2357,-2.18569,0.69
HSCJ1134+0051,173.6107,0.85852,0.68
HSCJ1136-0000,174.0314,-0.01233,0.67
HSCJ1138-0054,174.6609,-0.90359,0.81
HSCJ1144-0025,176.1618,-0.42978,0.6138
HSCJ1144+0013,176.1868,0.22971,0.4676
HSCJ1152+0031,178.0592,0.52404,0.4665
HSCJ1201-0012,180.4162,-0.20729,0.18
HSCJ1203-0131,180.837,-1.52058,0.36
HSCJ1220+0021,185.2014,0.36278,0.4064
HSCJ1228+0107,187.0511,1.12887,0.38
HSCJ1229+0136,187.4527,1.61458,0.6183
HSCJ1231-0135,187.8975,-1.59427,0.95
HSCJ1241+0026,190.4152,0.43597,0.98
HSCJ1249-0058,192.3667,-0.97644,1.01
HSCJ1347-0041,206.8368,-0.69391,0.82
HSCJ1400-0055,210.1399,-0.93005,0.6
HSCJ1401-0102,210.3371,-1.04129,0.45
HSCJ1403+0000,210.972,0.01521,0.9
HSCJ1407-0115,211.8094,-1.25336,0.61
HSCJ1407+0004,211.8382,0.07088,0.47
HSCJ1420+0019,215.0107,0.31924,0.29
HSCJ1420+0033,215.1423,0.55515,0.37
HSCJ1420+0040,215.2343,0.67589,0.78
HSCJ1421+0048,215.477,0.81153,1.07
HSCJ1422-0002,215.6428,-0.04041,1.0
HSCJ1422+4246,215.6717,42.7689,0.6047
